county_code,county,lat,long,geometry
047,Fayette,35.125742700000004,-89.4742177,"list(list(c(-89.632776, -89.616176, -89.474171, -89.375071, -89.347491, -89.183944, -89.198287901495, -89.3526793918484, -89.434954, -89.644051831619, -89.632776, 35.375824, 35.388662, 35.403039, 35.399936, 35.400338, 35.397126, 34.9944505301151, 34.9939961417459, 34.993754, 34.9940668634279, 35.375824)))"
049,Fentress,36.37106,-84.8984775,"list(list(c(-85.120445, -85.043924, -84.943144, -84.731839, -84.659115, -84.700785, -84.797861, -84.875842, -84.907753, -85.029461, -85.100213, -85.119583, -85.082497, -85.122245, -85.120445, 36.407164, 36.558791, 36.58127, 36.524674, 36.395222, 36.370824, 36.296894, 36.285092, 36.156293, 36.170433, 36.138561, 36.144719, 36.196171, 36.304599, 36.407164)))"
051,Franklin,35.1946865,-86.0529604,"list(list(c(-86.318168, -86.306076, -86.245315, -86.261489, -86.158018, -86.02704, -85.913593, -85.873025, -85.863317, -85.8639461118069, -86.311274, -86.3187607654651, -86.318168, 35.126986, 35.231178, 35.324051, 35.333579, 35.362607, 35.343837, 35.289189, 35.223362, 35.208624, 34.9870308587481, 34.991098, 34.9910785804428, 35.126986)))"
053,Gibson,35.9969735,-88.864698,"list(list(c(-89.206297, -89.163406, -89.154464, -88.961232, -88.959839, -88.863298, -88.692709, -88.706811, -88.916181, -89.109285, -89.135958, -89.188844, -89.206297, 36.011814, 36.026044, 36.204678, 36.201635, 36.222834, 36.137639, 36.062746, 35.791075, 35.797307, 35.862089, 35.967841, 35.99976, 36.011814)))"
055,Giles,35.0894745,-86.9824288,"list(list(c(-87.232442, -87.206578, -87.129112, -86.960804, -86.906451, -86.828301, -86.8362863159495, -87.2107585799823, -87.216683, -87.2240536418757, -87.232442, 35.28767, 35.433207, 35.456019, 35.417021, 35.314075, 35.263677, 34.992803004217, 34.9990491809997, 34.999148, 34.9992307419721, 35.28767)))"
057,Grainger,36.3059333,-83.5496566,"list(list(c(-83.714704, -83.667408, -83.658007, -83.532504, -83.3868, -83.304197, -83.280595, -83.288896, -83.255292, -83.328295, -83.449498, -83.467097, -83.541099, -83.674237, -83.659926, -83.66746, -83.699405, -83.732704, -83.714704, 36.173783, 36.344381, 36.331982, 36.353385, 36.413186, 36.388189, 36.394689, 36.378789, 36.289092, 36.29669, 36.217989, 36.174688, 36.181987, 36.125008, 36.090903, 36.080587, 36.109469, 36.164583, 36.173783)))"
059,Greene,36.1347943,-82.820974,"list(list(c(-83.166085, -83.14219, -83.082312, -82.937183, -82.702566, -82.631794, -82.647769, -82.595065, -82.6057036107936, -82.628365, -82.725065, -82.779397, -82.787465, -82.81613, -82.860724, -82.8937514184314, -83.102761, -83.172485, -83.166085, 36.180894, 36.18739, 36.242296, 36.334797, 36.410412, 36.418769, 36.146404, 36.096205, 36.0371988635619, 36.062105, 36.018204, 35.992511, 35.952163, 35.923986, 35.94743, 35.9338572697089, 36.120909, 36.157095, 36.180894)))"
061,Grundy,35.4013452,-85.684578,"list(list(c(-85.913593, -85.869712, -85.876962, -85.820334, -85.607326, -85.485622, -85.558551, -85.709418, -85.740113, -85.873025, -85.913593, 35.289189, 35.380362, 35.524095, 35.504573, 35.531651, 35.406307, 35.319292, 35.289251, 35.215295, 35.223362, 35.289189)))"
063,Hamblen,36.2054334,-83.2934086,"list(list(c(-83.449498, -83.328295, -83.255292, -83.16259, -83.082312, -83.14219, -83.166085, -83.187386, -83.175098, -83.245787, -83.234585, -83.274501, -83.425891, -83.467097, -83.449498, 36.217989, 36.29669, 36.289092, 36.345292, 36.242296, 36.18739, 36.180894, 36.174995, 36.127357, 36.124194, 36.085094, 36.130794, 36.154549, 36.174688, 36.217989)))"
065,Hamilton,35.1618966,-85.1479364,"list(list(c(-85.4743388431343, -85.365031, -85.387089, -85.246005, -85.225877, -85.168302, -85.135191, -85.102158, -85.016343, -85.031314, -84.946339, -85.026643, -85.008478, -84.961146, -84.9769738065923, -84.9798540252315, -85.045183, -85.2650550217158, -85.277556, -85.3639190289311, -85.384967, -85.4743388431343, 34.9836733267911, 35.072554, 35.147169, 35.319077, 35.354276, 35.455614, 35.458649, 35.428442, 35.409288, 35.379477, 35.287717, 35.136171, 35.09269, 35.015175, 34.9872198373549, 34.9872056139756, 
34.986883, 34.9850776447417, 34.984975, 34.9833765631405, 34.982987, 34.9836733267911)))"
067,Hancock,36.5456022,-83.2077645,"list(list(c(-83.4720935738096, -83.2763, -82.9844584955724, -82.830433, -82.950519, -83.010789, -83.120966, -83.280595, -83.304197, -83.3868, -83.369401, -83.398303, -83.4720935738096, 36.5994757320593, 36.598187, 36.59528996905, 36.593761, 36.543005, 36.563691, 36.513883, 36.394689, 36.388189, 36.413186, 36.459186, 36.534885, 36.5994757320593)))"
069,Hardeman,35.1229172,-89.0179332,"list(list(c(-89.183944, -89.182551, -89.078876, -88.841607, -88.79274, -88.781768, -88.786612, -88.823050501632, -89.0171270115524, -89.02654, -89.198287901495, -89.183944, 35.397126, 35.432816, 35.431428, 35.427826, 35.328971, 35.247587, 34.995252, 34.995207045695, 34.9949676128363, 34.994956, 34.9944505301151, 35.397126)))"
071,Hardin,35.1142443,-88.2461183,"list(list(c(-88.374926, -88.362572, -88.360829, -88.260249, -88.241677, -88.196462, -88.024741, -87.981585, -87.9849160436989, -88.000032, -88.202959, -88.200064, -88.258111, -88.3635302685392, -88.3804925115221, -88.374926, 35.304031, 35.380994, 35.418972, 35.416731, 35.423263, 35.379561, 35.392307, 35.295678, 35.0059101243258, 35.005939, 35.008028, 34.995634, 34.995463, 34.9957467517971, 34.9957924082221, 35.304031)))"
073,Hawkins,36.4445545,-82.9501558,"list(list(c(-83.280595, -83.120966, -83.010789, -82.950519, -82.830433, -82.609181949399, -82.610175, -82.702279, -82.680677, -82.702566, -82.937183, -83.082312, -83.16259, -83.255292, -83.288896, -83.280595, 36.394689, 36.513883, 36.563691, 36.543005, 36.593761, 36.5950896860685, 36.5193, 36.455499, 36.4318, 36.410412, 36.334797, 36.242296, 36.345292, 36.289092, 36.378789, 36.394689)))"
075,Haywood,35.593858,-89.2621216,"list(list(c(-89.502118, -89.401805, -89.356033, -89.338704, -89.069544, -89.078876, -89.182551, -89.183944, -89.347491, -89.375071, -89.474171, -89.469862, -89.502118, 35.580621, 35.822657, 35.817635, 35.789273, 35.692679, 35.431428, 35.432816, 35.397126, 35.400338, 35.399936, 35.403039, 35.546566, 35.580621)))"
077,Henderson,35.6427245,-88.4016041,"list(list(c(-88.603575, -88.606862, -88.56955, -88.179177, -88.190465, -88.243057, -88.247243, -88.241677, -88.260249, -88.360829, -88.364005, -88.505354, -88.56557, -88.613611, -88.603575, 35.626084, 35.789354, 35.824451, 35.816785, 35.609088, 35.528858, 35.439296, 35.423263, 35.416731, 35.418972, 35.492801, 35.51203, 35.587088, 35.588089, 35.626084)))"
079,Henry,36.3369938,-88.2461183,"list(list(c(-88.5163580599794, -88.51192, -88.4890767387132, -88.127378, -88.0533508007759, -88.061428, -87.99092, -88.031779, -88.095868, -88.092269, -88.10266, -88.090782, -88.09371, -88.088851, -88.092526, -88.09167, -88.087082, -88.085228, -88.212559, -88.211698, -88.530322, -88.5163580599794, 36.5014641981633, 36.501457, 36.5012837190757, 36.49854, 36.4999962506816, 36.443992, 36.360133, 36.359809, 36.359265, 36.340315, 36.310933, 36.29485, 36.293028, 36.288556, 36.281033, 36.275198, 36.267898, 
36.254549, 36.12029, 36.145974, 36.152023, 36.5014641981633)))"
081,Hickman,35.8012797,-87.460397,"list(list(c(-87.71676, -87.706438, -87.53453, -87.204242, -87.201426, -87.215099, -87.25561, -87.339232, -87.459587, -87.586676, -87.658189, -87.74375, -87.71676, 35.83875, 35.905755, 35.993074, 35.959186, 35.940579, 35.850651, 35.700516, 35.65911, 35.615124, 35.653117, 35.609349, 35.663952, 35.83875)))"
083,Houston,36.283619,-87.658113,"list(list(c(-87.98074, -87.821816, -87.715494, -87.592358, -87.586957, -87.513533, -87.523627, -87.566798, -87.585973, -87.798508, -87.949603, -87.944295, -87.98074, 36.353307, 36.328724, 36.36824, 36.367663, 36.34178, 36.334713, 36.24889, 36.177857, 36.197699, 36.244754, 36.24316, 36.264177, 36.353307)))"
085,Humphreys,36.0245773,-87.7369607,"list(list(c(-88.02239, -87.919043, -87.949603, -87.798508, -87.585973, -87.566798, -87.552874, -87.53453, -87.706438, -87.71676, -87.852682, -87.96274, -87.925835, -88.02239, 35.965818, 36.130049, 36.24316, 36.244754, 36.197699, 36.177857, 36.016237, 35.993074, 35.905755, 35.83875, 35.803799, 35.840921, 35.930432, 35.965818)))"
087,Jackson,36.4004931,-85.643487,"list(list(c(-85.828026, -85.813885, -85.704075, -85.57596, -85.495422, -85.497587, -85.495124, -85.557527, -85.780148, -85.82766, -85.828026, 36.411836, 36.499473, 36.522395, 36.471617, 36.403074, 36.375051, 36.302278, 36.223177, 36.238011, 36.255272, 36.411836)))"
089,Jefferson,36.0417825,-83.4643551,"list(list(c(-83.70925, -83.66746, -83.659926, -83.674237, -83.541099, -83.467097, -83.425891, -83.274501, -83.234585, -83.258684, -83.276677, -83.296531, -83.310782, -83.474901, -83.673297, -83.70925, 36.093234, 36.080587, 36.090903, 36.125008, 36.181987, 36.174688, 36.154549, 36.130794, 36.085094, 36.000995, 36.007652, 35.90452, 35.895846, 35.922893, 36.038486, 36.093234)))"
091,Johnson,36.4585672,-81.8224362,"list(list(c(-81.983843, -81.871443, -81.8267341480526, -81.6469, -81.677535, -81.699962, -81.695311, -81.734312, -81.7253727796853, -81.705966, -81.768977, -81.833202, -81.908137, -81.9184444729048, -81.9343692444926, -82.058946, -81.983843, 36.508314, 36.602015, 36.6147191041614, 36.611918, 36.588117, 36.536829, 36.467912, 36.413342, 36.3897384974361, 36.338496, 36.341042, 36.347339, 36.302013, 36.2873579173821, 36.2647162043798, 36.367515, 36.508314)))"
