cnty_cd,county,lat,long,geometry,year,population,pct_pop_change,avg_commute_mins,pct_comm_change,traffic_growth_rate
007,Bledsoe,35.6028856,-85.2308414,"list(c(-85.423804, -85.265387, -85.254062, -84.928536, -84.916062, -85.107762, -85.146393, -85.135191, -85.168302, -85.225877, -85.403298, -85.436147, -85.423804, 35.567422, 35.721237, 35.765611, 35.768549, 35.761939, 35.571359, 35.491299, 35.458649, 35.455614, 35.354276, 35.49228, 35.541365, 35.567422))",2017-01-01,14895,1.065273442800918,NA,NA,5.140468843623299
007,Bledsoe,35.6028856,-85.2308414,"list(c(-85.423804, -85.265387, -85.254062, -84.928536, -84.916062, -85.107762, -85.146393, -85.135191, -85.168302, -85.225877, -85.403298, -85.436147, -85.423804, 35.567422, 35.721237, 35.765611, 35.768549, 35.761939, 35.571359, 35.491299, 35.458649, 35.455614, 35.354276, 35.49228, 35.541365, 35.567422))",2016-01-01,14738,0.9382918978152244,NA,NA,-0.5359091807735465
007,Bledsoe,35.6028856,-85.2308414,"list(c(-85.423804, -85.265387, -85.254062, -84.928536, -84.916062, -85.107762, -85.146393, -85.135191, -85.168302, -85.225877, -85.403298, -85.436147, -85.423804, 35.567422, 35.721237, 35.765611, 35.768549, 35.761939, 35.571359, 35.491299, 35.458649, 35.455614, 35.354276, 35.49228, 35.541365, 35.567422))",2015-01-01,14601,0.6896076132680395,NA,NA,-1.1851233244014476
007,Bledsoe,35.6028856,-85.2308414,"list(c(-85.423804, -85.265387, -85.254062, -84.928536, -84.916062, -85.107762, -85.146393, -85.135191, -85.168302, -85.225877, -85.403298, -85.436147, -85.423804, 35.567422, 35.721237, 35.765611, 35.768549, 35.761939, 35.571359, 35.491299, 35.458649, 35.455614, 35.354276, 35.49228, 35.541365, 35.567422))",2014-01-01,14501,4.248741912293319,NA,NA,4.625582903891534
007,Bledsoe,35.6028856,-85.2308414,"list(c(-85.423804, -85.265387, -85.254062, -84.928536, -84.916062, -85.107762, -85.146393, -85.135191, -85.168302, -85.225877, -85.403298, -85.436147, -85.423804, 35.567422, 35.721237, 35.765611, 35.768549, 35.761939, 35.571359, 35.491299, 35.458649, 35.455614, 35.354276, 35.49228, 35.541365, 35.567422))",2013-01-01,13910,7.612563824849139,NA,NA,-1.2103959157463522
007,Bledsoe,35.6028856,-85.2308414,"list(c(-85.423804, -85.265387, -85.254062, -84.928536, -84.916062, -85.107762, -85.146393, -85.135191, -85.168302, -85.225877, -85.403298, -85.436147, -85.423804, 35.567422, 35.721237, 35.765611, 35.768549, 35.761939, 35.571359, 35.491299, 35.458649, 35.455614, 35.354276, 35.49228, 35.541365, 35.567422))",2012-01-01,12926,-0.5080049261083741,NA,NA,1.7010172388795537
007,Bledsoe,35.6028856,-85.2308414,"list(c(-85.423804, -85.265387, -85.254062, -84.928536, -84.916062, -85.107762, -85.146393, -85.135191, -85.168302, -85.225877, -85.403298, -85.436147, -85.423804, 35.567422, 35.721237, 35.765611, 35.768549, 35.761939, 35.571359, 35.491299, 35.458649, 35.455614, 35.354276, 35.49228, 35.541365, 35.567422))",2011-01-01,12992,0.8382489909965818,NA,NA,-3.578512994004118
007,Bledsoe,35.6028856,-85.2308414,"list(c(-85.423804, -85.265387, -85.254062, -84.928536, -84.916062, -85.107762, -85.146393, -85.135191, -85.168302, -85.225877, -85.403298, -85.436147, -85.423804, 35.567422, 35.721237, 35.765611, 35.768549, 35.761939, 35.571359, 35.491299, 35.458649, 35.455614, 35.354276, 35.49228, 35.541365, 35.567422))",2010-01-01,12884,NA,NA,NA,-1.2932534616686706
009,Blount,35.6710541,-83.8473015,"list(c(-84.134468, -84.172812, -84.166267, -84.144301, -84.145659, -84.016481, -83.994677, -83.850155, -83.794275, -83.70525, -83.662814, -83.6629119015893, -83.771736, -83.848502, -83.916801, -83.9532313801504, -83.9589178345639, -83.93854, -83.993815, -84.081561, -84.188319, -84.134468, 35.647399, 35.712756, 35.805106, 35.795763, 35.849586, 35.839498, 35.883749, 35.842019, 35.887125, 35.71158, 35.690618, 35.5677997932083, 35.562118, 35.519259, 35.473612, 35.4600208895767, 35.4578994395799, 35.487773, 
35.550001, 35.541231, 35.610549, 35.647399))",2018-01-01,131331,1.0246232663328136,23.9,-8.429118773946376,1.0314932505378411
009,Blount,35.6710541,-83.8473015,"list(c(-84.134468, -84.172812, -84.166267, -84.144301, -84.145659, -84.016481, -83.994677, -83.850155, -83.794275, -83.70525, -83.662814, -83.6629119015893, -83.771736, -83.848502, -83.916801, -83.9532313801504, -83.9589178345639, -83.93854, -83.993815, -84.081561, -84.188319, -84.134468, 35.647399, 35.712756, 35.805106, 35.795763, 35.849586, 35.839498, 35.883749, 35.842019, 35.887125, 35.71158, 35.690618, 35.5677997932083, 35.562118, 35.519259, 35.473612, 35.4600208895767, 35.4578994395799, 35.487773, 
35.550001, 35.541231, 35.610549, 35.647399))",2017-01-01,129999,1.3526788498721354,26.1,6.0975609756097615,3.322483805012899
