county,year,population,pct_pop_change,avg_commute_mins,pct_comm_change,traffic_growth_rate
Bradley,2016,104390,0.5935976256094877,21.3,5.970149253731338,1.4689242152824864
Bradley,2015,103774,0.9759562522501541,20.1,-9.459459459459453,2.9033292418410426
Bradley,2014,102771,0.975652891587564,22.2,-0.4484304932735439,1.842373986012456
Bradley,2013,101778,0.7214321764688503,22.3,4.20560747663552,0.14211593814698908
Bradley,2012,101049,1.2535321349125272,21.4,-5.3097345132743445,1.7002634484016144
Bradley,2011,99798,0.7216172299990831,22.6,10.784313725490202,1.8429420023554743
Bradley,2010,99083,NA,20.4,NA,0.44746805209146034
Campbell,2018,39795,0.010052524440196109,NA,NA,0.8894630454290321
Campbell,2017,39791,0.01759501307057043,NA,NA,-1.1780661870854412
Campbell,2016,39784,0.030171980287629907,NA,NA,1.0430711046180405
Campbell,2015,39772,-0.3033113578823299,NA,NA,6.031288403609726
Campbell,2014,39893,-0.8795686635028721,NA,NA,-0.30468424439441094
Campbell,2013,40247,-0.7031481298726883,NA,NA,3.3536232571464546
Campbell,2012,40532,-0.38340542666142063,NA,NA,-3.4576864580242095
Campbell,2011,40688,-0.11537989443967112,NA,NA,6.022240666649313
Campbell,2010,40735,NA,NA,NA,-3.0146132107665835
Cannon,2018,14440,1.9990110899201774,NA,NA,6.941175809136509
Cannon,2017,14157,2.0250792735658774,NA,NA,10.763272525639538
Cannon,2016,13876,0.9898107714701565,NA,NA,4.609606760682372
Cannon,2015,13740,1.2378426171529622,NA,NA,3.2215791043922914
Cannon,2014,13572,-0.9343065693430685,NA,NA,0.8331166068170577
Cannon,2013,13700,-0.6454420190006527,NA,NA,-4.259512114496844
Cannon,2012,13789,0.4736228504809148,NA,NA,4.678103151670575
Cannon,2011,13724,-0.5291005291005346,NA,NA,-1.6147514312966502
Cannon,2010,13797,NA,NA,NA,2.2465656689257285
Carroll,2018,27975,0.6041644190311724,NA,NA,3.690791106220858
Carroll,2017,27807,-0.3369054872585209,NA,NA,3.395523452868014
Carroll,2016,27901,-0.2894718033021215,NA,NA,2.743682849462216
Carroll,2015,27982,-1.5099785294428236,NA,NA,2.328808816669781
Carroll,2014,28411,-0.681675173040619,NA,NA,0.7831262597120544
