county,year,population,pct_pop_change,avg_commute_mins,pct_comm_change
Davidson,2012,649344,2.111278498171143,22.9,-2.1367521367521403
Davidson,2011,635918,1.3018004097198554,23.4,2.183406113537112
Davidson,2010,627746,NA,22.9,NA
Decatur,2018,11699,-0.2812819638595254,NA,NA
Decatur,2017,11732,-0.02556455048998707,NA,NA
Decatur,2016,11735,1.163793103448274,NA,NA
Decatur,2015,11600,-0.7274283269148474,NA,NA
Decatur,2014,11685,-0.09404924760602063,NA,NA
Decatur,2013,11696,0.5329207495272437,NA,NA
Decatur,2012,11634,-0.4108885464817691,NA,NA
Decatur,2011,11682,-0.2987112742169451,NA,NA
Decatur,2010,11717,NA,NA,NA
DeKalb,2018,20133,1.2930167035620777,NA,NA
DeKalb,2017,19876,2.2217650689158708,NA,NA
DeKalb,2016,19444,0.7878913539290933,NA,NA
DeKalb,2015,19292,0.33806626098715764,NA,NA
DeKalb,2014,19227,0.40208877284595435,NA,NA
DeKalb,2013,19150,1.4892151147384514,NA,NA
DeKalb,2012,18869,0.6132025167964184,NA,NA
DeKalb,2011,18754,0.3155924043861891,NA,NA
DeKalb,2010,18695,NA,NA,NA
Dickson,2018,53446,1.2733543032553918,NA,NA
Dickson,2017,52774,1.684007707129087,NA,NA
Dickson,2016,51900,1.1025830833365724,NA,NA
Dickson,2015,51334,1.7219855345288915,NA,NA
Dickson,2014,50465,0.6000318953831352,NA,NA
Dickson,2013,50164,-0.09957382403313897,NA,NA
Dickson,2012,50214,0.46416710015606544,NA,NA
Dickson,2011,49982,0.5997906770791372,NA,NA
Dickson,2010,49684,NA,NA,NA
Dyer,2018,37286,-0.14194274083397795,NA,NA
Dyer,2017,37339,-0.540727718288847,NA,NA
Dyer,2016,37542,-0.5588959817762862,NA,NA
Dyer,2015,37753,-0.14283069272885696,NA,NA
Dyer,2014,37807,-0.7507941091539183,NA,NA
Dyer,2013,38093,-0.24876924688383983,NA,NA
Dyer,2012,38188,0.18364027493573687,NA,NA
Dyer,2011,38118,-0.521947909598619,NA,NA
Dyer,2010,38318,NA,NA,NA
Fayette,2018,40556,1.0112079701120713,NA,NA
Fayette,2017,40150,1.1258595068382782,NA,NA
Fayette,2016,39703,1.076883910386961,NA,NA
Fayette,2015,39280,0.4012984689313104,NA,NA
Fayette,2014,39123,0.8012985674533679,NA,NA
Fayette,2013,38812,0.325699219355835,NA,NA
Fayette,2012,38686,0.3007518796992459,NA,NA
Fayette,2011,38570,0.37213417649049063,NA,NA
Fayette,2010,38427,NA,NA,NA
Fentress,2018,18322,0.5929504776545524,NA,NA
Fentress,2017,18214,0.9645232815964633,NA,NA
Fentress,2016,18040,0.4174784302811041,NA,NA
Fentress,2015,17965,0.6498963527368451,NA,NA
Fentress,2014,17849,-0.3071939231456655,NA,NA
Fentress,2013,17904,-0.06697923643670389,NA,NA
Fentress,2012,17916,-0.4500750125020825,NA,NA
Fentress,2011,17997,0.41287730848629245,NA,NA
Fentress,2010,17923,NA,NA,NA
Franklin,2018,41935,0.7495855656728168,NA,NA
Franklin,2017,41623,0.25290235560480046,NA,NA
